Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key
20 Bedtime Stories For Kids,div.,,4.5,0.0,0.0,414.0,,Unknown,Unknown,,Unknown,,Both,0,0,0,20 bedtime stories for kids,div.
2001: A Space Odyssey,Arthur C. Clarke,4.6,4.6,964.0,6.872128101338986,352.0,"This allegory about humanity's exploration of the universe, and the universe's reaction to humanity, was the basis for director Stanley Kubrick's immortal film, and lives on as a hallmark achievement in storytelling.",Hard Science Fiction | Technothrillers | Space Opera Science Fiction,",#1,550 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Hard Science Fiction,#6 in Technothrillers,#7 in Space Opera Science Fiction",1550.0,6 hours and 42 minutes,402.0,Both,1,1,1,2001: a space odyssey,arthur c. clarke
2019: How Modi Won India,Rajdeep Sardesai,2.5,2.5,317.0,5.762051382780177,836.0,,Unknown,Unknown,,Unknown,,Both,0,0,0,2019: how modi won india,rajdeep sardesai
21 Great Ways to Get Paid More and Promoted Faster,Brian Tracy,4.4,4.4,16.0,2.833213344056216,468.0,,Unknown,Unknown,,Unknown,,Both,0,0,0,21 great ways to get paid more and promoted faster,brian tracy
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,4.4,2836.0,7.950502434808851,1093.0,Brought to you by Penguin.,Political Science History & Theory | United States Politics & Government | Political Theory,",#14 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Political Science History & Theory,#1 in United States Politics & Government,#1 in Political Theory",14.0,11 hours and 41 minutes,701.0,Both,1,1,1,21 lessons for the 21st century,yuval noah harari
"21-Day Challenges Box Set 1 - Self Love, Self Confidence, & Happiness",21 Day Challenges,4.8,4.8,6.0,1.9459101490553132,501.0,,Unknown,Unknown,,Unknown,,Advanced Only,0,0,0,"21-day challenges box set 1 - self love, self confidence, & happiness",21 day challenges
22.11.63,Stephen King,,4.5,0.0,0.0,971.0,,Unknown,Unknown,,Unknown,,Advanced Only,0,0,0,22.11.63,stephen king
25 Hours a Day: Going One More to Get What You Want,Nick Bare,4.7,4.7,285.0,5.655991810819852,501.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,25 hours a day: going one more to get what you want,nick bare
"26 Marathons: What I Learned About Faith, Identity, Running, and Life from My Marathon Career",Meb Keflezighi,4.8,4.8,115.0,4.7535901911063645,879.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"26 marathons: what i learned about faith, identity, running, and life from my marathon career",meb keflezighi
2666,Roberto Bolaño,4.1,4.1,357.0,5.8805329864007,1406.0,"National Book Critics Circle, Fiction, 2009","Literary Fiction | Crime, Thriller & Mystery (Books) | Contemporary Fiction (Books)",",#3,144 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#181 in Literary Fiction,#5,296 in Crime, Thriller & Mystery (Books),#6,054 in Contemporary Fiction (Books)",3144.0,39 hours and 15 minutes,2355.0,Both,1,1,1,2666,roberto bolaño
"27 Essential Principles of Story: Master the Secrets of Great Storytelling, from Shakespeare to South Park",Daniel Joshua Rubin,5.0,5.0,7.0,2.0794415416798357,656.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"27 essential principles of story: master the secrets of great storytelling, from shakespeare to south park",daniel joshua rubin
281 and Beyond,VVS Laxman,4.5,4.5,204.0,5.3230099791384085,1003.0,"A stylish batsman who could score against any kind of bowling, VVS Laxman played over a hundred Tests to aggregate more than 8,000 runs. Cricket fans still remember with awe his game-changing knock of 281 against Australia in 2001 at Eden Gardens. But playing for India was never easy. He was dropped as often as he was picked, and despite his vast experience and unimpeachable skill, he never made it to a World Cup team.",Cricket | Sports Biographies | Cricket (Books),",#2,481 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Cricket (Audible Audiobooks & Originals),#14 in Sports Biographies,#70 in Cricket (Books)",2481.0,17 hours and 29 minutes,1049.0,Both,1,1,1,281 and beyond,vvs laxman
"30 Days - Change Your Habits, Change Your Life: A Couple of Simple Steps Every Day to Create the Life You Want",Marc Reklau,4.4,4.4,444.0,6.09807428216624,340.0,Have you ever asked yourself why some people seem to get everything easily and others don't?,Time Management & Productivity | Self-Esteem | Analysis & Strategy,",#4,442 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#48 in Time Management & Productivity,#52 in Self-Esteem,#7,344 in Analysis & Strategy",4442.0,4 hours and 12 minutes,252.0,Both,1,1,1,"30 days - change your habits, change your life: a couple of simple steps every day to create the life you want",marc reklau
30 Days to a More Powerful Vocabulary: The 500 Words You Need to Know to Transform Your Vocabulary...and Your Life,Dan Strutzel,3.7,3.7,14.0,2.70805020110221,656.0,A Bigger Vocabulary = A Brighter Future,English Language Learning | Communication & Social Skills | Business Careers,",#439 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in English Language Learning,#9 in Communication & Social Skills,#18 in Business Careers",439.0,7 hours and 48 minutes,468.0,Both,1,1,1,30 days to a more powerful vocabulary: the 500 words you need to know to transform your vocabulary...and your life,dan strutzel
30 Days to Taming Your Tongue: What You Say (And Don't Say) Will Improve Your Relationships,Deborah Smith Peques,4.7,4.7,507.0,6.230481447578482,305.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,30 days to taming your tongue: what you say (and don't say) will improve your relationships,deborah smith peques
30 Lessons for Living: Tried and True Advice from the Wisest Americans,Karl Pillemer Ph.D.,4.4,4.4,248.0,5.517452896464707,820.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,30 lessons for living: tried and true advice from the wisest americans,karl pillemer ph.d.
"30 Women in Power: Their Voices, Their Stories",Naina Lal Kidwai,4.2,4.2,69.0,4.248495242049359,836.0,"30 Women in Power carries the inimitable voices of Indian women who have been pioneers and led large organizations - in banking, law, the media, advertising, government services, health care, consulting, the fast-moving consumer goods sector and the not-for-profit space.",Unknown,Unknown,,Unknown,,Both,1,0,0,"30 women in power: their voices, their stories",naina lal kidwai
3001: A Novel,Arthur C. Clarke,4.1,4.1,357.0,5.8805329864007,879.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,3001: a novel,arthur c. clarke
33 Strategies of War,Robert Greene,4.2,4.2,4.0,1.6094379124341003,820.0,"33 Strategies of War is a comprehensive guide to the subtle social game of everyday life, informed by the most ingenious and effective military principles in war. It's the I-Ching of conflict, the contemporary companion to Sun Tzu's The Art of War, and is abundantly illustrated with examples from history, including the folly and genius of everyone from Napoleon to Margaret Thatcher, Hannibal to Ulysses S. Grant, movie moguls to samurai swordsmen.",Communication & Social Skills | Personal Success in Business | Business & Economics,",#718 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#14 in Communication & Social Skills,#91 in Personal Success in Business,#1,647 in Business & Economics",718.0,27 hours and 30 minutes,1650.0,Both,1,1,1,33 strategies of war,robert greene
365 Jataka Tales,Om Books International,4.0,4.0,37.0,3.6375861597263857,668.0,"The 365 series presents a variety of stories from Indian mythology, the Bible, the Jatakas, the Panchatantra, bedtime stories, folklore, and much more. From powerful sages to wicked demons, from arrogant kings to beautiful goddesses, this series showcases the most enchanting and gripping stories from all over the world.","Literary Criticism for Children | Fairy Tales, Folk Tales & Myths for Children | Children's Traditional Stories (Books)",",#3,776 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Literary Criticism for Children,#38 in Fairy Tales, Folk Tales & Myths for Children,#1,054 in Children's Traditional Stories (Books)",3776.0,8 hours and 31 minutes,511.0,Advanced Only,1,1,1,365 jataka tales,om books international
