Genre_List,Average_Rating,Book_Count,Total_Reviews
Historical Mysteries,4.15,2,2240.0
Historical Romance,4.6,1,98.0
Historical Thrillers,4.15,4,3013.0
History,4.6,5,8557.0
History & Culture for Teens,4.199999999999999,2,118.0
History (Books),4.585714285714286,9,13202.0
History of Christianity,4.7,1,1855.0
History of Civilization,4.433333333333334,6,24672.0
History of Civilization & Culture,4.533333333333333,3,2518.0
History of Exploration for Children,4.8,1,851.0
History of Hinduism,4.699999999999999,2,440.0
History of Ideas,4.7,2,36.0
History of Judaism,4.55,2,3547.0
History of Psychology,4.5,2,1194.0
History of Religion,4.516666666666667,6,1763.0
History of Science,4.5,4,2497.0
History of Technology,4.0,1,96.0
History of the Americas,4.6,2,828.0
Hoax & Deception True Crime,4.4,1,287.0
Holocaust,4.4,1,12997.0
Home & House Maintenance,4.6,2,22171.0
Homeschooling,4.8,1,2350.0
Horror (Books),4.233333333333333,6,14028.0
Horror Fiction,4.466666666666667,6,14036.0
Horror Fiction for Teens,4.7,1,397.0
Human Geography,4.25,2,2807.0
Human Rights,4.35,2,272.0
Human Sexuality Psychology,4.525,4,677.0
Humanistic Psychology,4.7,1,75.0
Humor for Children,4.8,1,208.0
Humorous Fantasy,4.5,1,2496.0
Humorous Fiction,4.502380952380952,24,15584.0
Humorous Fiction for Children,4.533333333333333,15,49021.0
Humour (Books),4.576923076923077,15,8256.0
Immune Systems & Autoimmune Diseases,4.4,1,202.0
Imperialism,4.5,2,628.0
Indian History,4.444444444444445,18,7402.0
Indian History (Books),4.340000000000001,5,292.0
Indian Literature,4.29,21,13786.0
Industrial Engineering,4.459999999999999,5,2181.0
Industries,4.516666666666667,12,3317.0
Infertility,4.6,1,71.0
Inflation,4.7,1,87.0
Injuries & Rehabilitation,4.7,1,90.0
Insurance,4.4,1,49.0
Intelligence & Espionage,4.65,2,1970.0
Interest,4.2,1,443.0
Interior Design,4.3,1,1394.0
International Business,4.6499999999999995,6,5264.0
International Diplomacy,4.633333333333333,3,1368.0
International Economics,4.449999999999999,2,608.0
International Mystery & Crime,4.3625,8,32683.0
International Relations,4.4,1,28.0
International Relations & Globalization,5.0,1,2.0
International Trades & Tariffs,4.5,1,57.0
Internet & Social Media (Books),4.4799999999999995,5,1641.0
Investing & Trading,4.470370370370371,29,42760.0
Investing & Trading Commodities,4.5,2,537.0
Investing & Trading Options,4.35,2,146.0
Investing Analysis & Strategy,4.433333333333334,6,4926.0
Islam (Books),4.766666666666667,4,3352.0
